REG.CGE;NÚMERO;ÓRGÃO;CONVENENTE;CELEBRAÇÃO;PUBLICAÇÃO;OBJETO;VIGÊNCIA;VALOR TOTAL
12-80632-3;0180/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA EEEFM DR HORTENCIO S. RIBEIRO - CAMPINA GRANDE/PB.;19/7/2012;2/8/2012;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO À SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO HORTÊNSIO DE SOUSA RIBEIRO,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;31/12/2012;114.696,0
12-80600-5;0152/2012;PCOOPERAR - 28.101 - PROJETO COOPERAR DO ESTADO DA PARAIBA;ASSOC. PRODUTORES  RURAIS DISTRITO SAÕ JOSÉ/CAMPINA GRANDE;24/5/2012;27/7/2012;CONSTITUI OBJETO DESTE CONVÊNIO O DE CONSTRUÇÃO DE COMPLEXO SANITÁRIO DOMICILIAR,PARA BENEFICIAR 33 (TRINTA E TRÊS) FAMÍLIAS.;25/11/2013;194.627,53
12-80550-5;0022/2012;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;INSTITUTO DE EDUCAÇÃO E ASSISTÊNCIA AOS CEGOS DO NORDESTE;13/7/2012;20/7/2012;DESTINADO A MANUTENÇÃO DAS ATIVIDADES DE EDUCAÇÃO INCLUSIVA E ASSISTÊNCIA SOCIAL DESENVOLVIDAS JUNTO AOS ALUNOS COM DEFICIÊNCIA VISUAL NA INSTITUIÇÃO. ;30/9/2014;84.000,0
12-80546-7;0005/2012;UEPB - 22.0401 - UNIVERSIDADE ESTADUAL DA PARAÍBA;COOP. PROJETO DE ASSISTÊNCIA TÉCNICA CAPACITAÇÃO DO NORDESTE LTDA / CAMPINA GRANDE;11/7/2012;19/7/2012;CONCESSÃO DE ESTÁGIO OBRIGATÓRIO E ELETIVO ;11/7/2017;0,0
12-80436-3;0002/2012;SETDE - 21.0001 - SECRETARIA DE ESTADO DO TURISMO E DESENVOLVIMENTO ECONÔMICO;CÂMERA DIRIGENTES LOJISTAS - CDL / CAMPINA GRANDE;10/5/2012;23/6/2012;O PRESENTE INSTRUMENTO TEM POR OBJETO A CONJUGAÇÃO DE ESFORÇOS,EM REGIME DE PARCERIA,VISANDO A PROMOÇÃO DE INCENTIVOS PARA INCREMENTAR AS VENDAS DO COMÉRCIO VAREJISTA E DE SERVIÇOS DA CIDADE DE CAMPINA GRANDE,"ATRAVÉS DA CAMPANHA ""LIQUIDA CAMPINA 2012"".;30/8/2012;100.000,0
12-80373-1;0004/2012;LOTEP - 21.203 - LOTERIA DO ESTADO DA PARAÍBA ;ASSOC. DE PAIS E AMIGOS EXEPICIONAIS DE CAMPINA GRANDE;22/5/2012;14/6/2012;VIABILIZAR RECURSOS PARA SERVIÇOS ASSISTENCIAIS EDUCACIONAIS CULTURAIS E DE SAUDE A PESSOAS COM DEFICIENCIA INTELECTTUAL E MULTIPLA E SEUS FAMILIARES DA CIDADE DE CAMPINA GRANDE E QUASE TODO COMPARTIMENTO DA BORBOREMA;23/3/2013;15.000,0
12-80308-1;0013/2012;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;ORGANIZAÇÃO PAPEL MARCHE - PAPEL MARCHE / CAMPINA GRANDE;28/5/2012;6/6/2012;AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA A ORGANIZAÇÃO PAPEL MARCHÊ DE ECONOMIA SOLIDÁRIA DE ASSISTÊNCIA E APOIO AOS PNE´S ( PESSOAS COM NECESSIDADES ESPECIAIS),TAMBÉM DESIGNADO PELA SIGLA OAPNES - PAPEL MARCHÊ QUE ATENDE A CRIANÇAS E ADOLESCENTES CARENTES NO CONTRA TURNO ESCOLAR E SEUS FAMILIARES.;31/7/2012;108.496,92
12-80257-3;0009/2012;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;CONGREGAÇÃO REDENTORISTA NORDESTINA;24/5/2012;2/6/2012;ASSISTÊNCIA EDUCACIONAL DE 277 JOVENS CARENTES,ATRAVÉS DE CURSOS PROFISSIONALIZANTES NAS ÁREAS DE ELETRÔNICA,TELECOMUNICAÇÕES,INFORMÁTICA,GUIA DE TURISMO,ENFERMAGEM,SEGURANÇA DO TRABALHO,EQUIPAMENTOS BIOMÉDICOS,LOGÍSTICA,AGROECOLOGIA E SERVIÇOS IMOBILIÁRIOS.;31/12/2012;1.030.440,0
12-80249-2;0003/2012;IMEQ - 21.0401 - INSTITUTO DE METROLOGIA E QUALIDADE DA PARAÍBA;CENTRO DE ENSINO SUPERIOR E DESENVOLVIMENTO LTDA / CAMPINA GRANDE;25/5/2012;1/6/2012;CONSTITUI OBJETO DESTE INSTRUMENTO DE CONVÊNIO,ESTABELECER CONDIÇÕES INDISPENSÁVEIS A VIABILIZAÇÃO DE CONCESSÃO DE ESTÁGIOS CURRICULARES AOS ESTUDANTES DA CESED CENTRO DE ENSINO SUPERIOR E DESENVOLVIMENTO,REGULARMENTE MATRICULADOS E COM EFETIVA FREQÜÊNCIA,ENTENDIDO COMO UM ATO EDUCATIVO ESCOLAR SUPERVISIONADO E COMO UMA ESTRATÉGIA DE PROFISSIONALIZAÇÃO QUE COMPLEMENTE O PROCESSO ENSINO-APRENDIZAGEM.;24/5/2016;0,0
12-80237-9;0178/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO SEVERINO CABRAL - CAMPINA GRANDE/P;22/5/2012;26/5/2012;CONVÊNIO VISANDO À SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO SEVERINO CABRAL,LOCALIZADA NO MUNICÍPIO DE CAMPINA GRANDE/PB,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;31/12/2012;50.220,0
12-80236-1;0174/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA ESCOLA EST. DE ENS. FUND. E MÉDIO ELPIDIO DE ALMEIDA- CAMPINA GRANDE;21/5/2012;26/5/2012;CONVÊNIO VISANDO À SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO DR. ELPÍDIO DE ALMEIDA,LOCALIZADA NO MUNICÍPIO DE CAMPINA GRANDE/PB,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;31/12/2012;140.940,0
12-80234-4;0216/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR JOSÉ DOROTÉIA DUTRA/CAMPINA GRANDE;18/5/2012;26/5/2012;CUSTEAR O TRANSPORTE ESCOLAR DE ALUNOS RESIDENTES EM AREAS RURAIS PARA AS ESCOLAS DA REDE ESTADUAL DE ENSINO DA ZONA URBANA.;28/2/2013;77.880,0
12-80233-6;0215/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR WALNIZA BORBOREMA CUNHA LIMA - CAMPINA GRANDE/PB.;18/5/2012;26/5/2012;CUSTEAR O TRANSPORTE ESCOLAR DE ALUNOS RESIDENTES EM AREAS RURAIS PARA AS ESCOLAS DA REDE ESTADUAL DE ENSINO DA ZONA URBANA.;28/2/2013;79.640,0
12-80232-8;0214/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR MARIA AUGUSTA LUCENA BRITO / CAMPINA GRANDE;18/5/2012;26/5/2012;CUSTEAR O TRANSPORTE ESCOLAR DE ALUNOS RESIDENTES EM AREAS RURAIS PARA AS ESCOLAS DA REDE ESTADUAL DE ENSINO DA ZONA URBANA.;28/2/2013;75.680,0
12-80231-0;0212/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO DA EEEF JOAQUINA CABRAL;18/5/2012;26/5/2012;CUSTEAR O TRANSPORTE ESCOLAR DE ALUNOS RESIDENTES EM AREAS RURAIS PARA AS ESCOLAS DA REDE ESTADUAL DE ENSINO DA ZONA URBANA.;28/2/2013;75.680,0
12-80230-1;0211/2012;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR IRMÃ J. SAMPAIO/CAMPINA GRANDE;18/5/2012;24/5/2012;CUSTEAR O TRANSPORTE ESCOLAR DE ALUNOS RESIDENTES EM AREAS RURAIS PARA AS ESCOLAS DA REDE ESTADUAL DE ENSINO DA ZONA URBANA.;28/2/2013;46.200,0
12-80228-0;0005/2012;SEAD - 19.0001 - SECRETARIA DO ESTADO DA ADMINISTRACAO;ASSOCIAÇÃO DOS MILITARES ESTADUAIS DA PARAIBA - AMEP;18/5/2012;24/5/2012;TEM A FINALIDADE DE CONSIGNAR EM FOLHA DE PAGAMENTO DOS SERVIDORES PUBLICOS ESTADUAIS DESCONTOS CONCERNENTES À CONTRIBUIÇÃO ASSOCIATIVA.;18/5/2013;0,0
12-80221-2;0001/2012;AESA - 31.208 - AGÊNCIA EXEC. DE GESTÃO DAS ÁGUAS DO ESTADO DA PARAIBA;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB.;12/3/2012;17/5/2012;COOPERAÇÃO TÉCNICA CIENTIFICA. EDUCACIONAL E,ADMINISTRATIVA.;12/3/2016;0,0
12-80214-0;0008/2012;SEC - 33.101 - SECRETARIA DE ESTADO DA CULTURA;ASSOC. REPENTISTAS E POETAS NORDESTINO/CAMPINA GRANDE;10/5/2012;12/5/2012;APOIO FINANCEIRO AO XXXI FESTIVAL NACIONAL DE VIOLEIROS.;30/6/2012;30.000,0
12-80213-1;0001/2012;FERH - 31.902 - FUNDO ESTADUAL DE RECURSOS HÍDRICOS;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB.;12/3/2012;12/5/2012;CONCESSÃO DE ESTÁGIOS CURRICULARES PARA ALUNOS DESSA INSTITUIÇÃO.;12/3/2016;0,0
12-80083-0;0007/2012;SEC - 33.101 - SECRETARIA DE ESTADO DA CULTURA;ORGANIZAÇÃO NOVA CONSCIÊNCIA;14/2/2012;16/2/2012;APOIO FINANCEIRO AO 21º ENCONTRO DA NOVA CONSCIÊNCIA.;30/4/2012;65.000,0
12-80075-9;0001/2012;PROCON - 09.203 - PROCON/PB - PROTEÇÃO E DEFESA DO CONSUMIDOR DO ESTADO DA PARÍBA;CENTRO DE ENSINO SUPERIOR E DESENVOLVIMENTO LTDA / CAMPINA GRANDE;1/2/2012;16/2/2012;REALIZAÇÃO DE ESTÁGIO NÃO  OBRIGATÓRIO DE ALUNOS REGULARMENTE MATRICULADOS A PARTIR DO 7º PERÍODO DO CURSO DE DIREITO,ENCAMINHADOS PELA FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS - FACISA,A PARTIR DE AVALIAÇÃO TÉCNICA MEDIANTE PROCESSO SELETIVO REGULAR,PARA PREENCHIMENTO DE 10 (DEZ) VAGAS DE ESTÁGIO,COM O FIM DE EXERCER ATIVIDADES JUNTO AO PROCON-PB.;1/2/2014;96.000,0
12-80041-4;0011/2011;SEAP - 24.0001 - SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA;UNIVERSIDADE ESTADUAL DA PARAÍBA;22/12/2011;26/1/2012;O PRESENTE TERMO DE COOPERAÇÃO TÉCNICA,TEM POR OBJETIVO,A FORMAÇÃO DE TURMAS NAS INSTITUIÇÕES PRISIONAIS DO ESTADO DA PARAÍBA,PARA REALIZAÇÃO DO CURSO DE FORMAÇÃO EM CORTE E COSTURA,COM VISTA AO PROCESSO DE RESSOCIALIZAÇÃO DE REEDUCANDOS DO SISTEMA CARCERÁRIO DA PARAÍBA;22/12/2012;0,0
11-80914-1;0027/2011;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;ORGANIZAÇÃO PAPEL MARCHE - PAPEL MARCHE / CAMPINA GRANDE;16/12/2011;22/12/2011;AQUISIÇÃO DE EQUIPAMENTOS PARA A INSTITUIÇÃO.;31/1/2012;37.829,0
11-80890-0;0007/2011;FERH - 31.902 - FUNDO ESTADUAL DE RECURSOS HÍDRICOS;UNIVERSIDADE ESTADUAL DA PARAÍBA;10/12/2011;17/12/2011;ESTÁGIO CURRICULAR OBRIGATÓRIO E NÃO OBRIGATÓRIO JUNTO A UEPB.;10/12/2015;0,0
11-80886-1;024S/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;REDE NACIONAL PESQUISA AO VIRUS HIV - AIDS / CAMPINA GRANDE;7/12/2011;13/12/2011;O PRESENTE CONVÊNIO TEM POR OBJETO DESENVOLVER AÇÕES SOCIAIS PARA MELHORAR A QUALIDADE DE VIDA DE PESSOAS QUE VIVEM E CONVIVEM COM HIV/AIDS NO ESTADO DA PARAÍBA,VISANDO A VOLTA DOS PORTADORES AO CONVÍVIO SOCIAL,COMO FORMA DE COMBATER O PRECONCEITO E A DISCRIMINAÇÃO,CONFORME O PLANO DE TRABALHO.;7/2/2012;14.000,0
11-80884-5;022S/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;GRUPO DE APOIO A VIDA - GAV - CAMPINA GRANDE/PB.;6/12/2011;13/12/2011;O PRESENTE CONVÊNIO TEM POR OBJETO MINIMIZAR O IMPACTO PSICOSSOCIAL CAUSADO PELAS DIVERSAS MANIFESTAÇÕES DE PRECONCEITO,DISCRIMINAÇÃO E EXCLUSÃO A QUE SÃO SUBMETIDAS AS PESSOAS VIVENDO COM HIV E AIDS NO SEIO DA SOCIEDADE,ATRAVÉS DA REALIZAÇÃO DE OFICINAS TEMÁTICAS (PRODUÇÃO DE SABER COLETIVO),ACONSELHAMENTOS DE PARES (CONSTRUÇÃO DA AUTONOMIA DOS SUJEITOS) E ACOMPANHAMENTO DOMICILIARES (APOIO PRÁTICO E EMOCIONAL),PERMITINDO OFERECER UM CARÁTER MAIS HUMANIZADO PARA QUE A PESSOA SE SINTA CUIDADA E PERTENCENTE A UMA REDE SOCIAL,CONTRIBUINDO PARA A MELHORIA DA QUALIDADE DE VIDA DAS PESSOAS VIVENDO COM HIV/AIDS,COM O PROJETO CIDADANIA POSITHIVA,CONFORME O PLANO DE TRABALHO.;6/6/2012;35.000,0
11-80882-9;020S/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;ONG - ESPERANÇA NO AMANHÃ - ENA;6/12/2011;13/12/2011;O PRESENTE CONÊNIO TEM POR OBJETO CONTRIBUIR DE FORMA ELETIVA PARA UMA MELHOR QUALIDADE DE VIDA VIDA DAS CRIANÇAS E ADOLECENTES QUE VIVEM E CONVIVEM COM HIV/AIDS NO ESTADO DA PARAÍBA,ATRAVÉS DO DESENVOLVIMENTO DE AÇÕES QUE POSSIBILITEM CRIANÇAS,ADOLECENTES,SEUS FAMILIARES E CUIDADORES A COMPREENDER E A LIDAR COM SUAS PERCEPÇÕES INDIVIDUAIS E COLETIVAS,TENDO EM VISTA A SUA PARTICIPAÇÃO NA VIDA SOCIAL COMO PROTAGONISTA E ATOR TRANSFORMADOR DA SUA HISTÓRIA,"COM O PROJETO ""CRESCENDO DE BEM COM A VIDA""",CONFORME O PLANO DE TRABALHO.;6/7/2012;35.000,0
11-80875-6;016S/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;REDE NACIONAL PESQUISA AO VIRUS HIV - AIDS / CAMPINA GRANDE;6/12/2011;10/12/2011;PRESENTE CONVÊNIO TEM POR OBJETO DESENVOLVER AÇÕES DE INTEGRAÇÃO E VALORIZAÇÃO DAS PESSOAS VIVENDO E CONVIVENDO COM HIV/AIDS NO ESTADO DA PARAÍBA,VISANDO CONTRIBUIR PARA A MELHORIA DA QUALIDADE DE VIDA,RESGATE DA AUTOESTIMA E A SOCIALIZAÇÃO DAS PVHA,ALÉM DE PRESTAR ATENDIMENTO JURÍDICO,PSICOSSOCIAL E NUTRICIONAL E MEDIAR CASOS DE VIOLAÇÃO DOS DIREITOS HUMANOS,COM O PROJETO INTEGRAÇÃO E VALORIZAÇÃO,CONFORME O PALNO DE TRABALHO.;6/6/2012;35.000,0
11-80855-1;014S/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;ONG-CENTRO INFORMATIVO DE PREV. MOBIL,E ACONSELHAMENTO AOS PROFISSIONAIS DO SEXO-CAMPINA GRANDE;25/11/2011;1/12/2011;AMPLIAR E DIFUNDIR AS AÇÕES DE PREVENÇÃO DESENVOLVIDAS PELO CIPMAC NA CIDADE DE CAMPINA GRANDE E OUTROS SEIS MUNICÍPIOS DO INTERIOR DA PARAÍBA - SERRA REDENDA,SOLEDADE,JUAZEIRINHO,POMBAL,MONTEIRO E AREIA - CONTRIBUINDO PARA REDUNÇÃO DOS ÍNDICES DE TRANSMISSÃO DAS DST/HIV/AIDS ENTRE PROFISSIONAIS DO SEXO E CLIENTES.;26/8/2012;35.500,0
11-80838-1;011S/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;INSTITUTO SOCIAL DE ASSISTÊNCIA À SAÚDE - ISAS;24/10/2011;29/11/2011;CONVÊNIO TEM POR OBJETO GARANTIR A MANUTENÇÃO DO USUÁRIO EM LISTA DE ESPERA,NO STATUS ATIVO,FAVORECENDO MAIOR ACESSO AO TRANSPLANTE RENAL E,CONSEQUENTIMENTE,A REDUÇÃO E AGILIDADE DA LISTA DE ESPERA,GARANTINDO MAIOR EXPERIENCIA E QUALIDADE DE VIDA AO USUÁRIO CRÔNICO RENAL,EM CONSONÂNCIA COM O PLANO DE TRABALHO QUE INTEGRA O PRESENTE CONVÊNIO.;1/10/2016;1.618.496,40
11-80833-1;0480/2011;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;UNIVERSIDADE ESTADUAL DA PARAÍBA;1/11/2011;15/3/2012;BOLSA ESCOLAR AOS ESTUDANTES ALFABETIZADORES VOLUNTÁRIOS E PAGAMENTO DE COORDENADORES LIGADOS AO PLANO ESTADUAL DE ALFABETIZAÇÃO,EXECUTADO ATRAVÉS DO PROGRAMA BRASIL ALFABETIZADO NO ESTADO DA PARAÍBA;28/4/2012;420.000,0
11-80799-7;0424/2011;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO EWCOLAR DA EEEFM MONTE CARMELO - CAMPINA GRANDE/PB.;3/11/2011;11/10/2011;SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONTE CARMELO,EM DECORRÊNCIA DO PROJETO PB/VEST.;31/12/2011;7.830,0
11-80788-1;009S/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;HOSPITAL PEDRO I;10/10/2011;11/11/2011;O PRESENTE CONVÊNIO TEM POR OBJETO GARANTIR A SAÚDE E OS DIREITOS HUMANOS DOS PACIENTES DE FORMA COMPLEMENTAR E ACESSÓRIA AO GOVERNO DO ESTADO DA PARAÍBA,DISPONIBILIZANDO-SE 33 (TRINTA E TRÊS) LEITOS DO HOSPITAL,SENDO 30 (TRINTA) LEITOS GERAIS PARA ATENDER PACIENTES PORTADORES DE MOLÉSTIAS CLÍNICAS DE MÉDIA COMPLEXIDADE E 03 (TRÊS) LEITOS DE UTI PARA ATENDER PACIENTES GRAVES PORTADORES DE MOLÉSTIAS CRÔNICAS DE LONGA PERMANÊNCIA HOSPITALAR (DOENÇAS NEUROLÓGICAS E INFECTO-CONTAGIOSA),TODOS ORIUNDOS E EGRESSOS DO HOSPITAL DE EMERGÊNCIA E TRAUMA DOM LUIZ GONZAGA,AMPLIANDO A CAPACIDADE INSTALADA DE LEITOS GERAIS E DE UTI,EM CONSONÂNCIA COM O PLANO DE TRABALHO E DEMAIS ANEXOS QUE INTEGRAM O PRESENTE CONVÊNIO,INDEPENDENTEMENTE DE TRANSCRIÇÃO.;10/10/2012;0,0
11-80760-1;0021/2011;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;ORGANIZAÇÃO PAPEL MARCHE - PAPEL MARCHE / CAMPINA GRANDE;24/10/2011;4/11/2011;MANUTENÇÃO DA INSTITUIÇÃO QUE ATENDE CRIANÇAS E ADOLESCENTES CARENTES NO CONTRA TURNO ESCOLAR E SEUS FAMILIARES.;30/9/2012;112.080,0
11-80567-6;0007/2011;SEAP - 24.0001 - SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA;SERVIÇO NACIONAL DA INDUSTRIA - SENAI / CAMPINA GRANDE/PB.;29/8/2011;8/10/2011;REALIZAÇÃO DE CURSOS DE CAPACITAÇÃO,PARA REINTEGRAÇÃO SOCIAL DE SENTENCIADOS.;25/2/2013;0,0
11-80495-5;0018/2011;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;INSTITUTO SÃO VICENTE DE PAULO / CAMPINA GRANDE;14/9/2011;21/9/2011;ASSISTÊNCIA AOS IDOSOS INTERNOS,ATRAVÉS DA ALIMENTAÇÃO,HIGIENE E LIMPEZA,ALÉM DE CUIDADO MÉDICO.;28/2/2013;157.500,0
11-80470-0;0001/2011;PROCON - 09.203 - PROCON/PB - PROTEÇÃO E DEFESA DO CONSUMIDOR DO ESTADO DA PARÍBA;UNIÃO DE ENSINO SUPERIOR DE CAMPINA GRANDE;11/8/2011;2/9/2011;EXECUÇÃO DA POLÍTICA DE PROTEÇÃO E DEFESA DO CONSUMIDOR NO ESTADO DA PARAÍBA,COM A CRIAÇÃO E INSTALAÇÃO DO SISTEMA MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR - SMDC NO BAIRRO DO CENTRO NO MUNICÍPIO DE CAMPINA GRANDE -PB,DENTRO DAS DIRETRIZES CONTIDAS NA LEI FEDERAL Nº 8.078 DE 11 DE SETEMBRO DE 1990 - CÓDIGO DE DEFESA DO CONSUMIDOR NO DECRETO FEDERAL Nº 2.181 DE 20 DE MARÇO DE 1997,CUMPRINDO A POLÍTICA ESTADUAL DE DEFSA DO CONSUMIDOR NO ESTADO DA PARAÍBA.;11/8/2015;0,0
11-80354-1;0006/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;REDE NACIONAL PESQUISA AO VIRUS HIV - AIDS / CAMPINA GRANDE;25/7/2011;5/8/2011;PRESTAR ASSISTÊNCIA ÀS PESSOAS PORTADORAS QUE VIVEM E/OU CONVIVEM COM HIV/AIDS,ATRAVÉS DO PROJETO CASA DE APOIO CÉLIA BRECHÓ,EM CONSONÂNCIA COM O PLANO DE TRABALHO QUE INTEGRA O CONVÊNIO INDEPENDENTEMENTE DE TRANSCRIÇÃO.;30/7/2013;114.240,0
11-80323-1;0004/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;CENTRO ELOHIM DE EQUOTERAPIA E HIPISMO - CEEQ;22/7/2011;29/7/2011;O PRESENTE CONVÊNIO TEM POR OBJETO A MANUTENÇÃO DO CENTRO ELOHIM DE EQUOTERAPIA E HIPISMO - CEEQ  CAMPINA GRANDE,NESTE ESTADO,EM CONSONÂNCIA COM O PLANO DE TRABALHO QUE INTEGRA O CONVÊNIO INDEPENDENTEMENTE DE TRANSCRIÇÃO.;1/8/2016;1.078.870,64
11-80314-2;0003/2011;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;ONG - ESPERANÇA NO AMANHÃ - ENA;8/7/2011;28/7/2011;PRESTAR ASSISTÊNCIA AS PESSOAS PORTADORAS QUE VIVEM E/OU CONVIVEM HIV/AIDS,"ATRAVÉS DO PROJETO ""CRESCENDO DE BEM COM A VIDA - 2010"" APROVADO PELO PAM - PROGRAMA DE AÇÕES E METAS - ESTADUAL/2010",EM CONSONÂNCIA COM O PLANO DE TRABALHO QUE INTEGRA O CONVÊNIO INDEPENDENTEMENTE DE TRANSCRIÇÃO.;30/3/2013;8.000,0
11-80262-6;0008/2011;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;FUNDAÇÃO ASSISTENCIAL DA PARAÍBA  -  FAP;7/6/2011;7/7/2011;AQUISIÇÃO DE MEDICAMENTOS PARA PACIENTES ACOMETIDOS OU PORTADORES DE CÂNCER EM TRATAMENTO QUIMIOTERÁPICO.;31/3/2013;990.000,0
11-80248-1;0002/2011;EMEPA - 32.202 - EMPRESA ESTADUAL DE PESQUISA AGROPECUÁRIA DA PARAÍBA;UNIVERSIDADE ESTADUAL DA PARAÍBA;30/6/2011;2/7/2011;IMPLANTAR AÇÕES TECNOLÓGICAS NO CENTRO DE CIÊNCIAS HUMANAS E NA ESCOLA AGROTÉCNICA DO CAJUEIRO,COM VISTAS AO INTERCÂMBIO DE CONHECIMENTOS EM ÁREAS ESPECÍFICAS DO DOMÍNIO DAS INSTITUIÇÕES,COMO FORMA DE PROMOVER O DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO PARAIBANO. ;30/6/2015;0,0
11-80239-1;0010/2011;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;ASSOC. DE PAIS E AMIGOS EXEPICIONAIS DE CAMPINA GRANDE;8/6/2011;28/6/2011;MANUTENÇÃO DA INSTITUIÇÃO QUE PRESTA SERVIÇO ASSISTENCIAL DE SAÚDE,EDUCACIONAL,CULTURAL,E OUTROS,A 420 PESSOAS COM DEFICIÊNCIA.;31/12/2012;94.500,2
"11-80225-1;0006/2011;SETDE - 21.0001 - SECRETARIA DE ESTADO DO TURISMO E DESENVOLVIMENTO ECONÔMICO;CÂMERA DIRIGENTES LOJISTAS - CDL / CAMPINA GRANDE;13/6/2011;16/6/2011;PARTICIPAÇÃO DA SETDE NA CAMPANHA ""LIQUIDA CAMPINA 2011"". QUE REALIZAR-SE-Á NO MUNICIPIO DE CAMPINA GRANDE/PB.;30/11/2011;100.000,0
11-80204-9;0007/2011;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;CASA DE ACOLHIDA SÃO PAULO DA CRUZ;4/5/2011;11/6/2011;MANUTENÇÃO,VISANDO MELHORAR O ATENDIMENTO ÀS PESSOAS CARENTES ASSISTIDAS NA INSTITUIÇÃO.;28/2/2013;110.643,75
11-80179-4;0011/2011;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;CONGREGAÇÃO REDENTORISTA NORDESTINA;4/5/2011;1/6/2011;ASSISTÊNCIA EDUCACIONAL DE 277 JOVENS CARENTES,ATRAVÉS DE CURSOS PROFISSIONALIZANTES NAS ÁREAS DE ELETRÔNICA,TELECOMUNICAÇÕES,INFORMÁTICA,LOGÍSTICA,ENFERMAGEM,SEGURANÇA DO TRABALHO,EQUIPAMENTOS BIOMÉDICOS E GUIA TURÍSTICO.;31/12/2011;1.030.440,0
